source_portable_path,original_sha256,original_bytes,staged_path,staged_sha256,staged_bytes,role,transformation,path_replacements
outputs/abd_eval300_analysis_v1/ABD_FINAL_REPORT.md,86d87f809afec748e10eeeea56543c6b71b86e417e6929ef8cf1b47ba47e251b,922,content/abd_lineage/00_formal/analysis/ABD_FINAL_REPORT.md,86d87f809afec748e10eeeea56543c6b71b86e417e6929ef8cf1b47ba47e251b,922,ABD formal analysis result/report/manifest,exact_copy,0
outputs/abd_eval300_analysis_v1/abd_arm_summary.csv,72072e6c56d5901d79afead02a8e301b3f13dc9566e75628aac8439f23a51c75,476,content/abd_lineage/00_formal/analysis/abd_arm_summary.csv,72072e6c56d5901d79afead02a8e301b3f13dc9566e75628aac8439f23a51c75,476,ABD formal analysis result/report/manifest,exact_copy,0
outputs/abd_eval300_analysis_v1/abd_by_question_type.csv,56a08cc19638d3b364d583f8034287e4f159d4859597a6543ec0bc42dfa55159,2430,content/abd_lineage/00_formal/analysis/abd_by_question_type.csv,56a08cc19638d3b364d583f8034287e4f159d4859597a6543ec0bc42dfa55159,2430,ABD formal analysis result/report/manifest,exact_copy,0
outputs/abd_eval300_analysis_v1/abd_by_video.csv,bf82318b85396bce16ac76f91705f0a8373e70bb729487718244a197c72f519c,1270,content/abd_lineage/00_formal/analysis/abd_by_video.csv,bf82318b85396bce16ac76f91705f0a8373e70bb729487718244a197c72f519c,1270,ABD formal analysis result/report/manifest,exact_copy,0
outputs/abd_eval300_analysis_v1/abd_per_question.csv,20a24feac3795dd04313f63b319d511d712ee20e46fa1cafddb3e7c266836e6d,164636,content/abd_lineage/00_formal/analysis/abd_per_question.csv,20a24feac3795dd04313f63b319d511d712ee20e46fa1cafddb3e7c266836e6d,164636,ABD formal analysis result/report/manifest,exact_copy,0
outputs/abd_eval300_analysis_v1/abd_score_report.json,6274cb10cb67c90f6c06068721e965f0256abc267c2fb0d76bb6229b9dbe0c37,572893,content/abd_lineage/00_formal/analysis/abd_score_report.json,963cdff1748e3e0f5b5f3960499c2ab8b62c917ec0137d3454df4425d10135bb,572875,ABD formal analysis result/report/manifest,absolute_personal_path_redaction_only,1
outputs/abd_eval300_analysis_v1/archive_manifest.json,8f7c591415ecb93eafdfd646b26f7475bd80643f3333ec3fc6e689c42e4fc763,6292,content/abd_lineage/00_formal/analysis/archive_manifest.json,77e6fd0fd896302d4f0a3df6ce347be9709ff36391f45801858c23cc90e9dfda,4234,ABD formal analysis result/report/manifest,absolute_personal_path_redaction_only,21
outputs/abd_eval300_analysis_v1/raw_file_inventory.json,b4ada6f927b363b934a2bada4c6d3989ed24ef6e93c8fbc0c333932cf4f275c4,622410,content/abd_lineage/00_formal/analysis/raw_file_inventory.json,42cb25be77ee19e49d3f9625787fab8b036e3ba998f99172194213553cfd1df1,445128,ABD formal analysis result/report/manifest,absolute_personal_path_redaction_only,1809
outputs/abd_eval300_analysis_v1/structural_closure_report.json,2efbe5e21a24723181af257154cbf946118568ea8717d8a7ba01ea2f93e65622,623908,content/abd_lineage/00_formal/analysis/structural_closure_report.json,53029bf8cc864c0eb8e142aa1d04a6c2e269e3789f2f8ef78b715acc684cf1e5,446626,ABD formal analysis result/report/manifest,absolute_personal_path_redaction_only,1809
outputs/abd_eval300_formal_v1/batch_controls/abd_first_question_abd_v1.json,750f30123224a460e1b8c10206ce7c0259fd18fb3ec4ef53ac73bfc6902771be,365,content/abd_lineage/00_formal/raw_run/batch_controls/abd_first_question_abd_v1.json,750f30123224a460e1b8c10206ce7c0259fd18fb3ec4ef53ac73bfc6902771be,365,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/batch_controls/abd_first_question_abd_v1_last_execution.json,3536d6e5d7285f1894c78a3c245736cd11fe81b9ed2cb8db638652f4dd874397,1592,content/abd_lineage/00_formal/raw_run/batch_controls/abd_first_question_abd_v1_last_execution.json,3536d6e5d7285f1894c78a3c245736cd11fe81b9ed2cb8db638652f4dd874397,1592,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/budget_ledger.json,f58f70d5a6ac21b87adae74261420d976bfbd81e1fbc0d4e551cca633d38ce35,96473,content/abd_lineage/00_formal/raw_run/budget_ledger.json,f58f70d5a6ac21b87adae74261420d976bfbd81e1fbc0d4e551cca633d38ce35,96473,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/continuation_controls/abd_eval300_remaining_897_v1.json,e098c60a5b6d104912fc91803b028fa77188fc31b1bc2f2d1cbf4861056bb4d8,415,content/abd_lineage/00_formal/raw_run/continuation_controls/abd_eval300_remaining_897_v1.json,e098c60a5b6d104912fc91803b028fa77188fc31b1bc2f2d1cbf4861056bb4d8,415,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/continuation_controls/abd_eval300_remaining_897_v1_last_execution.json,3ac422c537577dde2357c83db96a4388d6735fc2b425cca6c7d7ec20eddf3b28,669,content/abd_lineage/00_formal/raw_run/continuation_controls/abd_eval300_remaining_897_v1_last_execution.json,3ac422c537577dde2357c83db96a4388d6735fc2b425cca6c7d7ec20eddf3b28,669,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/continuation_controls/runner_stdout_stderr.log,3ac422c537577dde2357c83db96a4388d6735fc2b425cca6c7d7ec20eddf3b28,669,content/abd_lineage/00_formal/raw_run/continuation_controls/runner_stdout_stderr.log,3ac422c537577dde2357c83db96a4388d6735fc2b425cca6c7d7ec20eddf3b28,669,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/journals/attempt_ends.jsonl,a51cc6913c82b63578f6c38149f90d0d3d3e86c707033fe1a83e6d9925661ee4,1666912,content/abd_lineage/00_formal/raw_run/journals/attempt_ends.jsonl,a51cc6913c82b63578f6c38149f90d0d3d3e86c707033fe1a83e6d9925661ee4,1666912,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/journals/parser_results.jsonl,c5c198c450c5b7844bc4556189f47c5cf917c0f15ba52104b1cedebdca0f6e79,622086,content/abd_lineage/00_formal/raw_run/journals/parser_results.jsonl,c5c198c450c5b7844bc4556189f47c5cf917c0f15ba52104b1cedebdca0f6e79,622086,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/journals/provider_responses.jsonl,c869356f0764f0c51052d6ffbf5e722801cada3bd6b34b0c0776bce589048137,1589201,content/abd_lineage/00_formal/raw_run/journals/provider_responses.jsonl,c869356f0764f0c51052d6ffbf5e722801cada3bd6b34b0c0776bce589048137,1589201,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/journals/request_starts.jsonl,d9cf42b91d137a3fd5de8b69d833c7cd0857274c00208fdb6293812bca119264,640627,content/abd_lineage/00_formal/raw_run/journals/request_starts.jsonl,d9cf42b91d137a3fd5de8b69d833c7cd0857274c00208fdb6293812bca119264,640627,ABD formal raw per-task/run record,exact_copy,0
outputs/abd_eval300_formal_v1/task_artifacts/A__115774b6-534d-444f-b7aa-d1b834eb0ee7_12_27.json,9316fdb43940acdcf377f60166cab5162b777163a6629bdf5a3403eae6218bfa,1569,content/abd_lineage/00_formal/raw_run/task_artifacts/A__115774b6-534d-444f-b7aa-d1b834eb0ee7_12_27.json,82ee0a94460983d2577fb20caea44be14d3a8cc3f3f62eb3d5339f29fe02b536,1471,ABD formal raw per-task/run record,absolute_personal_path_redaction_only,1
outputs/abd_eval300_formal_v1/task_artifacts/A__115774b6-534d-444f-b7aa-d1b834eb0ee7_17_12.json,ca019be7a3492709ae4c9270ee4ed061e5e7285d3dc44df88c0c5cdff053280e,1590,content/abd_lineage/00_formal/raw_run/task_artifacts/A__115774b6-534d-444f-b7aa-d1b834eb0ee7_17_12.json,6b73d219b6866e18cfd7149824a5cf7f2b52dacc6bbf1beba6986a71a7575b5a,1492,ABD formal raw per-task/run record,absolute_personal_path_redaction_only,1
